KPI,Week Avg Score,Month Avg Score,Week Gap to 5,Month Gap to 5,Week Red Flags,Month Red Flags,Focus
Work at Height Control,3,3.1666666666666665,2,1.8333333333333335,0,0,Monitor
Edge Protection,2.5,3,2.5,2,0,0,Monitor
Falling Object Prevention,2,2.5,3,2.5,1,2,Immediate attention
Excavation Safety,3,2.5,2,2.5,0,1,Monitor
Scaffolding Compliance,3.25,3.5833333333333335,1.75,1.4166666666666665,0,0,Monitor
PTW Implementation,2,2.8333333333333335,3,2.1666666666666665,0,0,Immediate attention
PTW Field Verification,2,2.75,3,2.25,1,1,Immediate attention
MSRA Quality,3,3.8,2,1.2000000000000002,0,0,Monitor
Lifting/Precast Installation,2.5,2.6666666666666665,2.5,2.3333333333333335,0,1,Monitor
Traffic & Man-Machine Interface,2.5,2.5,2.5,2.5,1,2,Monitor
Housekeeping/Waste Management,3,2.6666666666666665,2,2.3333333333333335,0,0,Monitor
Welfare Arrangement,4,3.8333333333333335,1,1.1666666666666665,0,0,Monitor
Fire Readiness,2.5,3.5,2.5,1.5,0,0,Monitor
Supervision & Subcontractor Control,2,3,3,2,1,1,Immediate attention
Temporary Electrical & Tool Safety,2.5,3.1666666666666665,2.5,1.8333333333333335,0,0,Monitor
Root Cause,Week Count,Month Count,Comment,,,,
Leadership failure,0,0,,,,,
Poor supervision,1,3,,,,,
Poor planning,1,2,,,,,
PTW failure,0,0,,,,,
Weak MSRA,0,0,,,,,
Poor subcontractor control,0,1,,,,,
Resource constraint,0,0,,,,,
Inadequate competence,0,0,,,,,
Poor housekeeping culture,0,0,,,,,
Interface / simultaneous activity conflict,0,0,,,,,
Other,0,0,,,,,
